id,en,fr,de,pt-BR,zh-CN
action_InteractPaired,Взаимодействовать (вместе),Interagir (Jumelé),Interagieren (gekoppelt),Interagir (Pareado),互动（协同）
action_Jump,Прыжок,Sauter,Springen,Pular,跳跃
action_JumpChangeTarget,Сменить цель,Changer de Cible,Ziel wechseln,Trocar alvo,变更目标
action_Left,Влево,Gauche,Links,Esquerda,左
action_MeowToggle,Мяу (смена мира),Miaou (Changer de monde),Miau (Toggle World),Miar (Alternar mundo),喵（切换世界）
action_PickUp,Поднять,Ramasser,Aufheben,Pegar,拾取
action_pounce,Прыг!,Bondis !,Fangen!,Ataque!,猛扑！
action_PressBinding,[Нажмите клавишу],[Appuie sur l’entrée maintenant],[Jetzt Eingabetaste drücken],[Pressionar Entrada Agora],[立即按下输入键]
action_Pull,Тянуть,Tirer,Ziehen,Puxar,拉
action_pullPanel,Вытащить панель из стены,Retirer le panneau du mur,Ziehe das Panel aus der Wand heraus,Retirar o painel da parede,将面板从墙上拉出
action_ReleaseJump,(Отпустить) Прыжок,(Relâcher) Saut,Springen (loslassen),(Soltar) Pular,（释放）跳跃
action_RequestFuse,Запросить слияние,Demander une Fusion,Verschmelzung anfordern,Pedir fusão,请求合体
action_RequestMove,Запросить движение,Demander un Mouvement,Bewegung anfordern,Pedir movimento,请求移动
action_RequestSwap,Запросить смену мест,Demander un Échange,Tausch anfordern,Pedir troca,请求交换
action_Ride,Прокатиться,Monter à bord,Fahren,Montar,骑乘
action_Right,Вправо,Droite,Rechts,Direita,右
action_spinCat,Крутить кота,Tourner le chat,Katze drehen,Girar a gata,旋转猫咪
action_Split,Разделиться,Diviser,Teilen,Dividir,分体
action_StopInteracting,Прекратить взаимодействие,Arrêter d'interagir,Interaktion beenden,Parar de interagir,停止操作
action_Swap,Поменяться местами,Échanger,Tauschen,Trocar,交换
action_TalkTo,Говорить,Parler,Sprechen,Conversar,说话
action_Up,Вверх,Haut,Nach oben,Para cima,上
action_UseItem,Использовать,Utiliser,Benutzen,Usar,使用
action_ZoomCamera,Приблизить камеру,Zoom de la caméra,Kamera zoomen,Aproximar câmera,缩放镜头
bool_false_default,Нет,Faux,Falsch,Falso,否
bool_true_default,Да,Vrai,Wahr,Verdadeiro,是
category_collars,Ошейники,Colliers,Halsbänder,Coleiras,项圈
category_elevatorMusic,Музыка в лифте,Musique d’ascenseur,Fahrstuhlmusik,Música de elevador,电梯音乐
category_eyeColour,Цвет глаз,Couleur des yeux,Augenfarbe,Cor dos olhos,眼睛颜色
category_furColour,Цвет шерсти,Couleur de la fourrure,Fellfarbe,Cor do pelo,毛皮颜色
category_furLength,Длина шерсти,Longueur de la fourrure,Felllänge,Comprimento do pelo,毛发长度
category_hats,Шляпы,Chapeaux,Hüte,Chapéus,帽子
category_multiPlayerControls,Управление (мультиплеер),Commandes (Multijoueur),Steuerung (Mehrspieler),Controles (Multiplayer),操作（多人游戏）
category_mystery,???,???,???,???,???
category_pendants,Подвески,Pendentifs,Anhänger,Pingentes,吊坠
category_singlePlayerControls,Управление (одиночная игра),Commandes (Solo),Steuerung (Einzelspieler),Controles (Single Player),操作（单人游戏）
character_AccessLevel1,Уровень допуска 1,Niveau d’autorisation 1,Freigabestufe 1,Nível de Acesso 1,权限等级1
character_AccessLevel1_last,Уровень 1,Niveau 1,Stufe 1,Nível 1,1级
character_AccessLevel2,Уровень допуска 2,Niveau d’autorisation 2,Freigabestufe 2,Nível de Acesso 2,权限等级2
character_AccessLevel2_last,Уровень 2,Niveau 2,Stufe 2,Nível 2,2级
character_AccessLevel3,Уровень допуска 3,Niveau d’autorisation 3,Freigabestufe 3,Nível de Acesso 3,权限等级3
character_AccessLevel3_last,Уровень 3,Niveau 3,Stufe 3,Nível 3,3级
character_AccessLevel4,Уровень допуска 4,Niveau d’autorisation 4,Freigabestufe 4,Nível de Acesso 4,权限等级4
character_AccessLevel4_last,Уровень 4,Niveau 4,Stufe 4,Nível 4,4级
character_AccessLevel5,Уровень допуска 5,Niveau d’autorisation 5,Freigabestufe 5,Nível de Acesso 5,权限等级5
character_AccessLevel5_last,Уровень 5,Niveau 5,Stufe 5,Nível 5,5级
character_ada,Ада,Ada,Ada,Ada,艾达
character_advancedResearchDepartment,Отдел перспективных исследований,Département de recherche avancée,Abteilung für fortgeschrittene Forschung,Departamento de Pesquisa Avançada,高级研究部
character_aiCore,Ядро ИИ,Noyau IA,KI-Kern,Núcleo da IA,人工智能核心
character_allstaff,Весь персонал,Ensemble du personnel,Alle Mitarbeitenden,Todos os funcionários,全体员工
character_animalContainment,Содержание животных,Confinement animal,Tierhaltung,Contenção de Animais,动物收容
character_archiveDepartment,Архивный отдел,Département des Archives,Archivabteilung,Departamento de Arquivos,档案部门
character_arrivals,Прибытие,Arrivées,Ankunft,Chegadas,到达
character_central,Центр,Central,Zentral,Central,中央
character_ceo,Игний Флагранти,Igneous Flagranté,Ignatius Flagranti,Igneous Flagranté,伊格尼厄斯·福拉甘特
character_ceo_cute,Игги,Iggy,Iggy,Iggy,伊吉
character_ceo_formal,"Г-н И. Флагранти, генеральный директор",M. I Flagranté, PDG,Herr I. Flagranti, CEO,Sr. I Flagranté, CEO,I·福拉甘特先生，首席执行官
character_ceo_initials,ИФ,IF,IF,IF,IF
character_ceo_last,Флагранти,Flagranté,Flagranti,Flagranté,福拉甘特
character_ceo_short,Игний,Igneous,Ignatius,Igneous,伊格尼厄斯
character_company,Флагранти-Йохан Инк.,Flagranté-Johan Inc,Flagranti-Johann AG,Flagranté-Johan Inc,福约公司
character_company_cute,ФЙ,FJ,FJ,FJ,福约
character_company_short,Флагранти-Йохан,Flagranté-Johan,Flagranti-Johann,Flagranté-Johan,福约公司
character_crimeNovelist,Сигрид Фельдт,Sigrid Feldt,Sigrid Feldt,Sigrid Feldt,西格丽德·费尔特
character_crimeNovelist_formal,"Сигрид Фельдт, автор детективов",Sigrid Feldt, romancière policière,Sigrid Feldt, Krimiautorin,Sigrid Feldt, escritora de romances policiais,西格丽德·费尔特，犯罪小说作家
character_databackup,Хранилище резервных копий,Référentiel de sauvegarde des données,Datensicherungs-Repository,Repositório de Backup de Dados,数据备份库
character_dataCompany,Йохан Дата Процессинг,Traitement des données Johan,Johann Datenverarbeitung,Processamento de Dados Johan,约翰数据处理
character_debriefAI,ИИ-консьерж,Concierge IA,Rezeptions-KI,Concierge IA,礼宾AI
character_debriefAI_short,ИИ,IA,KI,IA,AI
character_debriefCeoOffice,Кабинет гендиректора,Bureau du PDG,Büro des CEO,Escritório do CEO,首席执行官办公室
character_debriefEntrance,Оценка эффективности,Évaluation de la performance,Leistungsbeurteilung,Avaliação de Desempenho,绩效评估
character_debriefProcessing,Обработка,Traitement,Abwicklung,Processamento,处理
character_deoSectorA,Поля Гейзенберга,Champs de Heisenberg,Heisenberg-Felder,Campos de Heisenberg,海森堡场
character_deoSectorB,Общие предметы,Partage d’objets,Gemeinsame Nutzung von Gegenständen,Compartilhamento de itens,物品共享
character_deoSectorC,Робототехника,Robotique,Robotik,Robótica,机器人技术
character_desAcclimatisation,Акклиматизация к парным событиям,Acclimatation à deux événements,Akklimatisierung an duale Ereignisse,Aclimatação de Eventos Duplos,双重事件适应
character_desConstructionSite,Стройплощадка,Site de construction,Baustelle,Canteiro de obras,工地
character_desDebriefing,Разбор полётов,Débriefing,Nachbesprechung,Averiguação,汇报总结
character_desDepartment,Отдел парных событий,Département des épreuves doubles,Abteilung für duale Ereignisse,Departamento de Eventos Duplos,双重事件部门
character_desDepartment_short,Парные события,Épreuves doubles,Duale Ereignisse,Eventos Duplos,双重事件
character_desOperations,Эксплуатация DES,Opérations DES,DES-Betrieb,Operações da DES,双重事件作业区
character_desOrientation,Инструктаж по парным событиям,Orientation à double événement,Orientierung für duale Ereignisse,Orientação para Evento Duplo,双重事件引导区
character_desTestSubjectProcessing,Обработка испытуемых,Traitement des sujets d’essai,Abwicklung von Versuchspersonen,Processamento de Sujeito de Teste,测试对象处理区
character_detritusSingularity,Сингулярность Хлама,Singularité des Détritus,Detritus-Singularität,Singularidade de Detritos,废质奇点
character_detritusSingularity_short,Сингулярность,Singularité,Singularität,Singularidade,奇点
character_eastWing,Восточное крыло,Aile Est,Ostflügel,Ala Leste,东翼
character_edith,Эдит,Edith,Edith,Edith,伊迪丝
character_edith_formal,Эдит Шрёнкунг,Edith Schränkung,Edith Schränkung,Edith Schränkung,伊迪丝·施兰孔
character_edith_initials,ЭШ,ES,ES,ES,ES
character_edith_last,Шрёнкунг,Schränkung,Schränkung,Schränkung,施兰孔
character_espionageDepartment,Шпионский отдел,Département d’espionnage,Spionageabteilung,Departamento de Espionagem,情报部门
character_espionageDepartment_short,Шпионаж,Espionnage,Spionage,Espionagem,情报
character_etherOre,Эфирная Руда,Minerai du Possible,Alternativium,Minério Etéreo,乙太矿石
character_etherOre_short,Руда,Minerai,Alternativium,Minério,矿石
character_excavationAccess,Доступ к раскопкам,Accès à l’excavation,Zugang zum Abbau,Acesso à Escavação,开采通道
character_experimentalDepartment,Экспериментальный отдел,Département expérimental,Versuchsabteilung,Departamento Experimental,实验部门
character_experimentalDepartment_short,Эксперименты,Expérimental,Experimentell,Experimental,实验
character_experimentalSector1,Экспериментальный сектор 1,Secteur expérimental 1,Versuchssektor 1,Setor Experimental 1,实验区域1
character_facility,Объект,Installation,Anlage,Instalação,设施
character_facility_formal,Сантехнический и дата-центр Флагранти-Йохан,Centre de Traitement des Données et de Plomberie de Flagranté-Johan,Flagranti-Johann Sanitär- und Datenverarbeitungsanlage,Instalação de Encanamento e Processamento de Dados Flagranté-Johan,福约管道和数据处理设施
character_flowControl,Регулировка потока,Contrôle de flux,Flusssteuerung,Controle de Fluxo,流量控制
character_game,Кот-домушник Шрёдингера,Le Chat Cambrioleur de Schrödinger,Schrödingers-Katzen-Dieb,A Gatuna de Schrödinger,灵猫大盗：奇点突口
character_heisenbergFlowControl,Регулировка потока энергии Гейзенберга,Contrôle du flux énergétique de Heisenberg,Heisenberg Energieflussregelung,Controle de Fluxo de Energia de Heisenberg,海森堡能量流控制
character_heisenbergTests,Испытания Гейзенберга,Tests de Heisenberg,Heisenberg-Versuche,Testes de Heisenberg,海森堡测试
character_itemSharingTests,Испытания общих предметов,Tests de partage d’objets,Tests zur gemeinsamen Nutzung von Gegenständen,Testes de Compartilhamento de Itens,物品共享测试
character_johan,Аарон Йохан,Aaron Johan,Aaron Johann,Aaron Johan,亚伦·约翰
character_johan_formal,"Аарон Йохан, сантехнический отдел",Aaron Johan, Département plomberie,Aaron Johann, Sanitärabteilung,Aaron Johan, Departamento de Encanamento,亚伦·约翰，管道部门
character_johan_initials,АЙ,AJ,AJ,AJ,AY
character_johan_last,Йохан,Johan,Johann,Johan,约翰
character_johan_short,Йохан,Johan,Johann,Johan,约翰
character_johanOffice,Кабинет $johan_short,Bureau de $johan_short,$johan_shorts Büro,Escritório do $johan_short,$johan_short的办公室
character_levelLower,Нижний уровень,Niveau Inférieur,Untergeschoss,Andar Inferior,下一层
character_levelUpper,Верхний уровень,Niveau Supérieur,Obergeschoss,Andar Superior,上一层
character_machine,Синтезатор парных событий,Synthétiseur à double événement,Dualereignis-Synthesizer,Dinamizadora de Eventos Simultâneos,双事件合成器
character_machine_short,DES,DES,DES,DES,DES
character_maintenanceDepartment,Отдел технического обслуживания,Département de la maintenance,Wartungsabteilung,Departamento de Manutenção,维修部
character_maintenanceDepartment_short,Техобслуживание,Maintenance,Wartung,Manutenção,维修部
character_maintenanceHead,Маня Слесаренко,Mandy Han,Hanna Werkmeister,Mandy Han,曼迪·韩
character_maintenanceHead_cute,Большая Маня,Big Mandy,Big Hanna,Mandona,大曼迪
character_maintenanceHead_formal,"Маня Слесаренко, начальник техотдела",Mandy Han, Chef de la Maintenance,Hanna Werkmeister, Leiterin der Wartungsabteilung,Mandy Han, Chefe de Manutenção,曼迪·韩，维修主管
character_maintenanceHead_initials,МС,MH,HW,MH,MH
character_maintenanceHead_short,Маня,Mandy,Hanna,Mandy,曼迪
character_maintenanceHub,Узел техобслуживания,Centre de maintenance,Wartungszentrum,Centro de Manutenção,维护中心
character_maintenanceHubWest,Узел техобслуживания (запад),Centre de maintenance Ouest,Wartungszentrum West,Centro de Manutenção Oeste,维护中心西
character_mama,Люсиль Хэллоуз,Lucille Hallows,Luisa Heilig,Lucille Hallows,露西尔·哈洛斯
character_mama_formal,"Г-жа Л. Хэллоуз, генеральный директор",Mme L Hallows, PDG,Frau L. Heilig, CEO,Sra. L Hallows, CEO,L·哈洛斯女士，首席执行官
character_mama_short,Люсиль,Lucille,Luisa,Lucille,露西尔
character_mandyOffice,Кабинет $maintenanceHead_short,Bureau de $maintenanceHead_short,$maintenanceHead_short's office,Escritório da $maintenanceHead_short,$maintenanceHead_short的办公室
character_mittens_option1,Митенс,Mittens,Mittens,Mittens,小手套
character_mittens_option10,Санни,Sunny,Sunny,Sunny,阳阳
character_mittens_option11,Блоб,Blob,Blob,Blob,团子
character_mittens_option12,Таскбар,Taskbar,Taskbar,Taskbar,塔宝
character_mittens_option2,Хьюго,Hugo,Hugo,Hugo,雨果
character_mittens_option3,Мёрфи,Murphy,Murphy,Murphy,墨菲
character_mittens_option4,Том,Tom,Tom,Tom,汤姆
character_mittens_option5,Тигра,Tigger,Tigger,Tigger,小虎
character_mittens_option6,Джинни,Ginny,Ginny,Ginny,金妮
character_mittens_option7,Виски,Whisky,Whisky,Whisky,威奇
character_mittens_option8,Носки,Socks,Socks,Socks,袜袜
character_mittens_option9,Джонси,Jonesy,Jonesy,Jonesy,琼斯
character_monetisationDepartment,Отдел монетизации,Département de monétisation,Monetarisierungsabteilung,Departamento de Monetização,变现部门
character_monetisationDepartment_short,Монетизация,Monétisation,Monetarisierung,Monetização,变现
character_monetisationHead,Натали Клыкошлиф,Natalie Fangsworn,Natalie Raffzahn,Natalie Fangsworn,娜塔莉·方斯沃恩
character_monetisationHead_cute,Натали,Natalie,Natalie,Natalie,娜塔莉
character_monetisationHead_formal,"Натали Клыкошлиф, начальник финансового отдела",Natalie Fangsworn, Responsable des finances,Natalie Raffzahn, Leiterin der Finanzabteilung,Natalie Fangsworn, Chefe de Finanças,娜塔莉·方斯沃恩，财务主管
character_monetisationHead_initials,НК,NF,NF,NF,NF
character_monetisationHead_last,Клыкошлиф,Fangsworn,Raffzahn,Fangsworn,方斯沃恩
character_monetisationHead_short,Г-жа Клыкошлиф,Mme Fangsworn,Frau Raffzahn,Sra. Fangsworn,方斯沃恩女士
character_mystery,???,???,???,???,???
character_novelist,Ирина Болтушкина,Iryne Chit,Iryne Schwätzer,Iryne Chit,艾琳·奇特
character_novelist_formal,"Ирина Болтушкина, писательница",Iryne Chit, romancière,Iryne Schwätzer, Romanautorin,Iryne Chit, romancista,艾琳·奇特，小说家
character_observationLab,Лаборатория наблюдения,Laboratoire d’observation,Beobachtungslabor,Laboratório de Observação,观察实验室
character_observationLabWest,Лаборатория наблюдения (запад),Laboratoire d’observation Ouest,Beobachtungslabor West,Laboratório de Observação Oeste,观察实验室西
character_oldLaboratory,Старая лаборатория,Ancien laboratoire,Altes Labor,Antigo Laboratório,旧实验室
character_oldScientist,Доктор Шрёнкунг,Dr. Schränkung,Dr. Schränkung,Dr. Schränkung,施兰孔博士
character_oldScientist_formal,Доктор Эльвир Шрёнкунг,Dr. Elvir Schränkung,Dr. Elvir Schränkung,Dr. Elvir Schränkung,埃尔维尔·施兰孔博士
character_oldScientist_initials,DES,DES,DES,DES,DES
character_oldScientist_last,Шрёнкунг,Schränkung,Schränkung,Schränkung,施兰孔
character_oldScientist_short,Эльвир,Elvir,Elvir,Elvir,埃尔维尔
character_operations,Эксплуатация,Opérations,Betrieb,Operações,运营
character_oreProcessing,Переработка $etherOre,Traitement $etherOre,Aufbereitung von $etherOre,Processamento de $etherOre,$etherOre处理
character_orphanDevourer,Пожиратель Сирот,Dévoreur d'Orphelins,Waisenverschlinger,Devoradora de órfãos,孤体吞噬者
character_orphanDevourer_short,Пожиратель,Dévoreur,Verschlinger,Devoradora,吞噬者
character_parentCompany,Capricorn International Products Ltd,Capricorn International Products Ltd,Capricorn International Products Ltd.,Capricórnio Produtos Internacionais Ltda,摩羯国际产品有限公司
character_parentCompany_cute,Capricorn,Capricorn,Capricorn,Capricórnio,摩羯
character_parentCompany_short,Capricorn International,Capricorn International,Capricorn International,Capricórnio Produtos,摩羯国际
character_pavlovIndustries,Pavlov Industries,Pavlov Industries,Pavlov Industries,Indústrias Pavlov,巴甫洛夫工业
character_plumberOffice,Кабинет $quantumPlumber_short,Bureau de $quantumPlumber_short,Büro von $quantumPlumber_short,Escritório do $quantumPlumber_short,$quantumPlumber_short的办公室
character_plumbingCompany,Флагранти Сантехнические Решения,Flagranté Plumbing Solutions,Flagranti Sanitärlösungen,Soluções de Encanamento Flagranté,福氏管道解决方案
character_plumbingCompany_short,Флагранти Сантехника,Plomberie de Flagranté,Flagranti Sanitär,Encanamento Flagranté,福氏管道
character_plumbingDepartment,Сантехнический отдел,Département de plomberie,Sanitärabteilung,Departamento de Encanamento,管道部门
character_plumbingDepartment_short,Сантехника,Plomberie,Sanitär,Encanamento,管道
character_powerControl,Управление питанием,Contrôle de l'alimentation,Stromregelung,Controle de Energia,电力控制
character_powerControlEast,Управление питанием (восток),Contrôle de l'alimentation Est,Stromregelung Ost,Controle de Energia Leste,电力控制东
character_powerControlWest,Управление питанием (запад),Contrôle de l'alimentation Ouest,Stromregelung West,Controle de Energia Oeste,电力控制西
character_powerGeneration,Электрогенерация,Production d’électricité,Stromerzeugung,Geração de Energia,发电
character_productionAndShipping,Производство и отгрузка,Production et expédition,Produktion & Versand,Produção e Transporte,生产与运输
character_prototypeRiftGenerator,Прототип генератора разлома,Prototype de générateur de failles,Prototyp des Spaltgenerators,Protótipo de Gerador de Fenda,裂隙原型发生器
character_quantumPlumber,Конрад Клеткин,Conrad Cage,Konrad Käfig,Conrad Cage,康拉德·凯奇
character_quantumPlumber_initials,КК,CC,KK,CC,KK
character_quantumPlumber_last,Клеткин,Cage,Käfig,Cage,凯奇
character_quantumPlumber_short,Конрад,Conrad,Konrad,Conrad,康拉德
character_researchDepartment,Исследовательский отдел,Département de recherche,Forschungsabteilung,Departamento de Pesquisa,研究部门
character_researchDepartment_short,Исследования,Recherche,Forschung,Pesquisa,研究
character_researchHub,Исследовательский узел,Centre de recherche,Forschungszentrum,Centro de Pesquisa,研究中心
character_researchHubEast,Исследовательский узел (восток),Centre de recherche Est,Forschungszentrum Ost,Centro de Pesquisa Leste,研究中心东
character_researchHubWest,Исследовательский узел (запад),Centre de recherche Ouest,Forschungszentrum West,Centro de Pesquisa Oeste,研究中心西
character_researchTeam,Исследовательская группа,Équipe de recherche,Forschungsteam,Equipe de Pesquisa,研究团队
character_researchTeam_short,Исследования,Recherche,Forschung,Pesquisa,研究
character_riftLabZero,Лаборатория Разлома Зеро,Laboratoire Rift Zéro,Spaltlabor Zero,Laboratório de Fendas Zero,零号裂隙实验室
character_riftResearch,Исследование разлома,Recherche sur les failles,Spaltforschung,Pesquisa de Fendas,裂隙研究
character_roboticsProduction,Производство роботов,Production robotique,Roboterproduktion,Produção Robótica,机器人生产
character_roboticsSystems,Робототехнические системы,Systèmes robotiques,Robotersysteme,Sistemas Robóticos,机器人系统
character_roboticsTests,Испытания роботов,Tests robotiques,Roboterversuche,Testes de Robótica,机器人测试
character_schro,Теневой Кот,Chat de l’Ombre,Schattenkatze,Gata das Sombras,影子猫
character_schro_formal,Таинственный Теневой Кот,Le chat sombre mystérieux,Die geheimnisvolle Schattenkatze,A Misteriosa Gata das Sombras,神秘的影子猫
character_scifiNovelist,Лиам Дж. Вёрдж,Liaim J Verge,Lothar J. Randlos,Liaim J Verge,利亚姆·J·维奇
character_scifiNovelist_formal,"Лиам Дж. Вёрдж, писатель",Liaim J Verge, romancier,Lothar J. Randlos, Romanautor,Liaim J Verge, romancista,利亚姆·J·维奇，小说家
character_sectorA,Сектор A,Secteur A,Sektor A,Setor A,A区
character_sectorB,Сектор B,Secteur B,Sektor B,Setor B,B区
character_sectorC,Сектор C,Secteur C,Sektor C,Setor C,C区
character_sectorsAandB,Секторы A и B,Secteurs A et B,Sektoren A und B,Setores A e B,A区和B区
character_securityMonitoring,Наблюдение за безопасностью,Surveillance de la sécurité,Sicherheitsüberwachung,Monitoramento de Segurança,安全监控
character_separationLab,Лаборатория разделения,Laboratoire de Séparation,Trennlabor,Laboratório de separação,分离实验室
character_serverMonitoring,Наблюдение за серверами,Surveillance des Serveurs,Serverüberwachung,Monitoramento de Servidor,服务器监控
character_splitLabAlphaHead,Доктор Надя Наян,Dr Nadia Nayan,Dr. Nadia Nayan,Dra. Nadia Nayan,纳迪亚·纳扬博士
character_splitLabAlphaHead_cute,Надя,Nadia,Nadia,Nadia,纳迪亚
character_splitLabAlphaHead_formal,"Доктор Надя Наян, лаборатория разделения",Dr Nadia Nayan, Laboratoire de Séparation,Dr. Nadia Nayan, Trennlabor,Dra. Nadia Nayan, Laboratório de separação,纳迪亚·纳扬博士，分离实验室
character_splitLabAlphaHead_initials,НН,NN,NN,NN,NN
character_splitLabAlphaHead_last,Наян,Nayan,Nayan,Nayan,纳扬
character_splitLabAlphaHead_short,Д-р Н. Наян,Dr N Nayan,Dr N Nayan,Dra. N Nayan,N·纳扬博士
character_splitLabBetaHead,Доктор Эйдан Наян,Dr Aidan Nayan,Dr. Aidan Nayan,Dr. Aidan Nayan,艾丹·纳扬博士
character_splitLabBetaHead_cute,Эйдан,Aidan,Aidan,Aidan,艾丹
character_splitLabBetaHead_formal,"Доктор Эйдан Наян, лаборатория наблюдения",Dr Aidan Nayan, Laboratoire d'Observation,Dr. Aidan Nayan, Beobachtungslabor,Dr. Aidan Nayan, Laboratório de observação,艾丹·纳扬博士，观察实验室
character_splitLabBetaHead_initials,ЭН,AN,AN,AN,AN
character_splitLabBetaHead_last,Наян,Nayan,Nayan,Nayan,纳扬
character_splitLabBetaHead_short,Д-р Э. Наян,Dr A Nayan,Dr. A. Nayan,Dr. A Nayan,A·纳扬博士
character_surfaceAccess,Выход на поверхность,Accès à la surface,Oberflächenzugang,Acesso à Superfície,地面通道
character_susan,Сьюзи-Вертушка,Lazy Susan,Stachlige Susi,Lentícia,慵懒苏珊
character_susan_cute,Сьюзи,Suzy,Susi,Lelê,苏西
character_susan_formal,Г-жа Сьюзан Печенькинс,Mme Susan Biscuits,Frau Susanne Keks,Sra. Letícia Biscoito,苏珊·饼干女士
character_susan_short,Сьюзи,Susan,Susi,Letícia,苏珊
character_systemsControl,Управление системами,Contrôle des systèmes,Systemsteuerung,Controle de Sistemas,系统控制
character_systemsControlEast,Управление системами (восток),Contrôle des systèmes Est,Systemsteuerung Ost,Controle de Sistemas Leste,系统控制中心东
character_systemsControlWest,Управление системами (запад),Contrôle des systèmes Ouest,Systemsteuerung West,Controle de Sistemas Oeste,系统控制中心西
character_systemsHead,Род Кольцов,Rhode Wheeler,Rudolf Rademacher,Rhode Wheeler,罗德·韦勒
character_systemsHead_formal,"Род Кольцов, начальник управления системами",Rhode Wheeler, responsable du contrôle des systèmes,Rudolf Rademacher, Leiter Systemsteuerung,Rhode Wheeler, Chefe de Controle de Sistemas,罗德·韦勒，系统控制主管
character_systemsHead_initials,РК,RW,RR,RW,RW
character_systemsHead_last,Кольцов,Wheeler,Rademacher,Wheeler,韦勒
character_systemsHead_short,Род,Rhode,Rudolf,Rhode,罗德
character_thecodex,Кодекс,Le Codex,Kodex,Codex,图鉴
character_theCrux,Узел,Le Nœud,Bereich des Möglichen,O Cerne,枢界
character_theCrux_formal,УЗЕЛ,LE NŒUD,BEREICH DES MÖGLICHEN,O CERNE,枢界
character_theCrux_short,Узел,Nœud,Bereich des Möglichen,Cerne,枢界
character_volunteering,Волонтёрство,Bénévolat,Freiwillig melden,Voluntariado,志愿服务
character_westStorage,Западный склад,Entrepôt Ouest,Lagerraum West,Armazenamento Oeste,西储藏室
character_westWing,Западное крыло,Aile Ouest,Westflügel,Ala Oeste,西翼
choice_Always,Всегда,Toujours,Immer,Sempre,总是
choice_AlwaysFullQuality,Всегда максимальное качество,Toujours une qualité irréprochable,Immer höchste Qualität,Sempre em qualidade máxima,始终保持最佳品质
choice_controllerDetect,Определять,Détecter,Erkennen,Detectar,探测
choice_controllerGeneric,Универсальный контроллер,Contrôleur générique,Generischer Controller,Controle Genérico,通用控制器
choice_controllerNintendo,Nintendo,Nintendo,Nintendo,Nintendo,任天堂
choice_controllerPS,Playstation,Playstation,Playstation,Playstation,PlayStation
choice_controllerSteamdeck,Steam Deck,Steam Deck,Steam Deck,Steam Deck,Steam Deck
choice_controllerXbox,Xbox,Xbox,Xbox,Xbox,Xbox
choice_CutscenesFullQuality,Кат-сцены в макс. качестве,Cinématiques en qualité maximale,Zwischensequenz in höchster Qualität,Qualidade máxima dos cortes de cena,过场动画高质量
choice_CutscenesOnly,Только кат-сцены,Cinématique uniquement,Nur Videosequenz,Apenas cortes de cena,仅过场动画
choice_GameplayAndCutscenes,Кат-сцены и геймплей,Cinématique et gameplay,Videosequenzen und Gameplay,Cortes de cena e interatividade,过场动画与游戏玩法
choice_glowAndUIHighlight,Свечение и интерфейс,Lumière et Interface Utilisateur,Leuchten und Benutzeroberfläche,Brilho e Interface,发光和用户界面
choice_glowHighlight,Только свечение,Lumière Uniquement,Nur Leuchten,Apenas Brilho,仅发光
